Longitude,Latitude,Accuracy,Altitude,Time,Easting,Northing
023.7786492,37.9757982,01.9000000,0227.0,2023-02-15T11:38:20.312000,480409.94,4202864.97
023.7786499,37.9757888,01.9800000,0227.0,2023-02-15T11:38:21.320000,480410.00,4202863.92
023.7786479,37.9757797,01.9800000,0227.0,2023-02-15T11:38:22.320000,480409.82,4202862.91
023.7786482,37.9757696,01.9000000,0227.0,2023-02-15T11:38:23.313000,480409.84,4202861.79
023.7786474,37.9757598,01.9000000,0227.0,2023-02-15T11:38:24.311000,480409.77,4202860.71
023.7786480,37.9757502,01.9800000,0227.0,2023-02-15T11:38:25.315000,480409.82,4202859.64
023.7786483,37.9757401,01.9800000,0226.0,2023-02-15T11:38:26.321000,480409.84,4202858.52
023.7786485,37.9757308,02.3000000,0226.0,2023-02-15T11:38:27.313000,480409.86,4202857.49
023.7786499,37.9757215,01.8800000,0227.0,2023-02-15T11:38:28.317000,480409.98,4202856.46
023.7786526,37.9757127,01.8800000,0227.0,2023-02-15T11:38:29.319000,480410.21,4202855.48
023.7786549,37.9757061,01.8160000,0227.0,2023-02-15T11:38:30.313000,480410.41,4202854.75
023.7786585,37.9757003,01.8160000,0227.0,2023-02-15T11:38:31.317000,480410.73,4202854.10
023.7786605,37.9756921,01.8800000,0226.0,2023-02-15T11:38:32.318000,480410.90,4202853.19
023.7786619,37.9756835,01.8160000,0226.0,2023-02-15T11:38:33.317000,480411.02,4202852.24
023.7786638,37.9756767,01.9000000,0226.0,2023-02-15T11:38:34.313000,480411.19,4202851.48
023.7786685,37.9756696,01.9000000,0226.0,2023-02-15T11:38:35.312000,480411.60,4202850.69
023.7786766,37.9756609,01.9000000,0227.0,2023-02-15T11:38:36.314000,480412.31,4202849.73
023.7786853,37.9756513,02.3000000,0226.0,2023-02-15T11:38:37.313000,480413.07,4202848.66
023.7786916,37.9756425,01.9800000,0226.0,2023-02-15T11:38:38.321000,480413.62,4202847.68
023.7786969,37.9756338,01.9800000,0226.0,2023-02-15T11:38:39.319000,480414.08,4202846.72
023.7787031,37.9756256,01.9800000,0226.0,2023-02-15T11:38:40.320000,480414.63,4202845.81
023.7787123,37.9756171,01.9800000,0226.0,2023-02-15T11:38:41.316000,480415.43,4202844.86
023.7787223,37.9756101,01.9800000,0226.0,2023-02-15T11:38:42.320000,480416.31,4202844.08
023.7787292,37.9756041,01.9000000,0227.0,2023-02-15T11:38:43.315000,480416.91,4202843.41
023.7787348,37.9755982,01.9000000,0227.0,2023-02-15T11:38:44.315000,480417.40,4202842.76
023.7787400,37.9755912,01.9000000,0227.0,2023-02-15T11:38:45.311000,480417.86,4202841.98
023.7787417,37.9755854,01.9000000,0227.0,2023-02-15T11:38:46.311000,480418.01,4202841.34
023.7787463,37.9755784,02.3000000,0227.0,2023-02-15T11:38:47.317000,480418.41,4202840.56
023.7787513,37.9755728,01.9800000,0227.0,2023-02-15T11:38:48.317000,480418.85,4202839.94
023.7787599,37.9755656,01.9800000,0228.0,2023-02-15T11:38:49.319000,480419.60,4202839.14
023.7787704,37.9755577,01.9800000,0228.0,2023-02-15T11:38:50.318000,480420.52,4202838.26
023.7787791,37.9755494,01.9800000,0228.0,2023-02-15T11:38:51.316000,480421.28,4202837.33
023.7787883,37.9755419,01.9800000,0228.0,2023-02-15T11:38:52.320000,480422.09,4202836.50
023.7787990,37.9755326,01.9800000,0229.0,2023-02-15T11:38:53.321000,480423.02,4202835.47
023.7788090,37.9755250,01.9000000,0229.0,2023-02-15T11:38:54.313000,480423.90,4202834.62
023.7788193,37.9755181,01.9000000,0229.0,2023-02-15T11:38:55.317000,480424.80,4202833.85
023.7788288,37.9755104,01.9000000,0229.0,2023-02-15T11:38:56.313000,480425.64,4202833.00
023.7788350,37.9755041,02.3000000,0229.0,2023-02-15T11:38:57.314000,480426.18,4202832.30
023.7788407,37.9754972,01.9000000,0229.0,2023-02-15T11:38:58.309000,480426.68,4202831.53
023.7788467,37.9754897,01.9800000,0228.0,2023-02-15T11:38:59.314000,480427.20,4202830.70
023.7788510,37.9754848,01.9800000,0229.0,2023-02-15T11:39:00.322000,480427.58,4202830.15
023.7788573,37.9754797,01.9800000,0228.0,2023-02-15T11:39:01.316000,480428.13,4202829.59
023.7788632,37.9754751,01.9800000,0229.0,2023-02-15T11:39:02.316000,480428.65,4202829.07
023.7788699,37.9754694,01.9800000,0229.0,2023-02-15T11:39:03.321000,480429.23,4202828.44
023.7788791,37.9754612,01.9800000,0229.0,2023-02-15T11:39:04.319000,480430.04,4202827.53
023.7788884,37.9754533,01.9000000,0229.0,2023-02-15T11:39:05.319000,480430.86,4202826.65
023.7788984,37.9754467,01.9800000,0229.0,2023-02-15T11:39:06.317000,480431.73,4202825.92
